ReqList_Last,Level1,Level2,Level3
97_74,부산광역시,동구,초량제3동
97_74,부산광역시,사하구,감천제1동
93_73,부산광역시,강서구,가덕도동
56_124,인천광역시,남동구,만수6동
56_125,인천광역시,부평구,부평4동
54_126,인천광역시,서구,청라3동
69_122,경기도,이천시,백사면
72_113,충청북도,음성군,음성읍
88_106,경상북도,안동시,풍산읍
92_74,경상남도,창원시진해구,웅천동
74_73,경상남도,하동군,하동읍
75_73,경상남도,하동군,적량면
76_70,경상남도,하동군,금남면
76_72,경상남도,하동군,양보면
75_70,경상남도,하동군,금성면
59_38,제주특별자치도,제주시,구좌읍
55_39,제주특별자치도,제주시,조천읍
46_35,제주특별자치도,제주시,한경면
49_32,제주특별자치도,서귀포시,안덕면
58_34,제주특별자치도,서귀포시,표선면
54_33,제주특별자치도,서귀포시,효돈동
101_119,강원특별자치도,삼척시,원덕읍
86_119,강원특별자치도,영월군,영월읍
